"serial","experiment_number","datetime","path","experiment_name","consent_1","mturk_ID","submit","start","stamp","length","scen1_1","scen1_2","scen2_1","scen2_2","scen3_1","scen3_2","scen3_3","scen3_4","scen3_5","scen4_1","f_scen4_1","scen4_2","scen4_3","hard_scen1_1","hard_scen1_2","hard_scen2_1","hard_scen2_2","hard_scen3_1","hard_scen3_2","hard_scen3_3","hard_scen3_4","hard_scen3_5","hard_scen4_1","f_hard_scen4_1","hard_scen4_2","hard_scen4_3","easy_ST_1","easy_ST_2","hard_ST_1","hard_ST_2","hard_ST_3","hard_ST_4","hard_ST_5","hard_ST_6","hard_ST_7","hard_ST_8","hard_ST_9","hard_ST_10","macarth","f_macarth","brazil1_Q1","brazil1_Q2","brazil1_Q3","brazil1_Q4","brazil1_Q5","brazil1_Q6","brazil1_Q7","brazil2_Q8","brazil2_Q9","brazil2_Q10","brazil2_Q11","brazil2_Q12","brazil2_Q13","brazil2_Q14","Income","f_Income","Household_Size","f_Household.Size","Education","f_Education","Sex","f_Sex","Age","Month_of.Birth","f_Month.of.Birth","Marital","f_Marital","Current_Employment","f_Current.Employment","Current_Occupation","f_Current.Occupation","Children","f_Children","Race","f_Race","Political","f_Political","beta","daily_dsic_rate"
132398,552,"2015-03-09 13:23:23",2,"experiment_Mar15_20","Y","A130UW3VJCW7A0","2015-03-09 13:23:51","2015-03-09 13:23:24","2015-03-09 13:23:51","27sec","Y","My husband and I house-sit, so we have no housing expenses or utilities. The only necessary money we spend goes toward food. The rest of our money goes toward funding our travels. If I received a 5% cut in salary, all it would mean is that we would have to save for a little longer before we travel or budget a little more while we are traveling.","Y","I have a good amount in savings so this $200 expense would not be a problem. I am going oversees soon so the $200 would be equivalent to a few nights' accommodation, but I would be able to pull money from other areas and it would not really affect my upcoming holiday.","N","I would simply take $150 from my checking account and pay for my part of the service. It would be as simple as that. I could easily spend $150.","N","N","It would be a very easy decision to make because I can very much afford the $150 expense. There would be very few (if any) consequences from spending the $150 and I would much rather have the peace of mind that my car is running safely and soundly.","opt_2",2,"Y","Even though I would end up paying more, it is only an extra $81 for the entire year. I would rather keep the $400 in my account for something else, such as a spontaneous trip.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trusted a credit union to accept me as a member because they had a good track record with people who have had no previous bank account.","I trusted my city's train system to be on time because they had been reliable for years.","I trusted the hospital to take good care of my mother because they had provided excellent care to my sister.","I trusted police officers to inspect my backyard for intruders because my city's police department has a good reputation.","I trusted my school would allow me to change my course because they had been accommodating to advanced-level students before.","I trusted my local grocery store to be honest and fair because they have a great standing within the community.","I trusted my city's humane society to care for their animals in the best way possible because they have been faithful to animal welfare for decades.","I trusted my veterinarian to treat my dog in the best way he knew how because I believed he had a true love for animals.","I trusted the doctor's office to take genuine interest in my health because their physicians are renowned within my community.","I trusted my local thrift store to give proceeds back to the community because I believe they are true to their mission statement.",4,4,3,1,3,1,2,1,3,1,2,1,3,1,4,4,3,"$20,000 to $29,999",2,"2",4,"High school diploma or the equivalent (for example: GED)",2,"Female",1995,1,"January",3,"Married",3,"Self-employed",21,"Self-employed/entrepreneur",1,"None",3,"Caucasian/White",1,"Democrat",1.07147081033691,0.00632591854385258
132399,552,"2015-03-09 13:24:07",3,"experiment_Mar15_20","Y","A2IIFLNPOHCIH2","2015-03-09 13:24:42","2015-03-09 13:24:08","2015-03-09 13:24:42","34sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I barely have enough for everything now. The cut would effect my food consumption and my leisure time as I would need a second job.","N","I may be able to get it throgh family members but I wold be so worried about payback I would suffer financially untill I repaid it.","N","I have no savings. Maybe I can sell some of my stuff but I don't have much. I would need a loan. I am starting to reach a place in my life where I understand the advantages of having a savings amaunt to fall back on in emergencys.","Y","Y","I was raised in a home where we easily put these things out of our minds untill it completly goe out and we are forced to deal with it. I can still tap into that attitude even though I know its not good.","opt_2",2,"N","yes for me it would as I have no cash. The payments spread out go with my lifestyle better then all up front. Its only fair to charge for the service of financing a large purchase like this.","with public transport I trust them because it is in their best interests to see me get to my destination safe and on time. There is little they gain from doing the opposite.","I trust most health care providers because I have too. and I think almost all of them got into the industry because they want to help people.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,1,2,1,3,1,1,1,1,1,3,2,3,"$20,000 to $29,999",3,"3",4,"High school diploma or the equivalent (for example: GED)",1,"Male",1974,11,"November",4,"Divorced",3,"Self-employed",3,"Arts/design/entertainment/music/media",2,"1",3,"Caucasian/White",1,"Democrat",0.895043417182396,0.0044633850479919
132401,552,"2015-03-09 13:30:19",1,"experiment_Mar15_20","Y","A1MRX2GTR1SBDH","2015-03-09 13:30:39","2015-03-09 13:30:20","2015-03-09 13:30:39","19sec","N","Things are unbelievably tight as they are! Every single penny counts. I could never take a pay cut in this economy. I am already living off of Ramen Noodles. ","Y","Fortunately for me my Mother has quite a bit of money and is very willing to help with anything but I just really don't like taking money from her. I should be able to do this on my own. ","N","I would ask my mother for it as painful as it would be for me but she enjoys doing things like that for her son. I would insist that she accept repayment.  ","N","N","I have already learned the hard way that if you let issues like this just sit they will become more of a financial burden in the future. ","opt_2",2,"N","Well if I must purchase a new refridgerator I will have to accept the payment plan regardless as I rarely have that kind of cash on hand. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would have to say that my local Supermarket would be a major one.","I would also have to say that my bank would fall under social trust. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,1,4,1,4,1,4,3,5,3,3,3,2,3,"$20,000 to $29,999",1,"1",5,"Some college, but not currently enrolled",1,"Male",1978,10,"October",1,"Never married",2,"Employed 3 or more years for the same company",14,"Legal",2,"1",3,"Caucasian/White",3,"Independent",1.07489507315972,0.00639232803006612
132404,552,"2015-03-09 14:06:49",2,"experiment_Mar15_20","Y","A2RMJNF6IPI42F","2015-03-09 14:07:04","2015-03-09 14:06:50","2015-03-09 14:07:04","14sec","Y","i'd probably just go to a couple fewer movies a month or eat out a few times less. it wouldn't impact my savings or set expenses.","Y","i'd be able to cover this expense out of my savings. i would be ok but i would have to work hard the next month to make up the extra and fill my savings back up.","N","pay for it out of my savings. it would be an unpleasant expense but one that i would have saved up for. i could deal with it in the short term.","N","N","payday loans are scams that should be outlawed. running a broken car is very dangerous and to be avoided unless necessary. gladly i have savings for emergencies.","opt_1",1,"Y","absolutely not, interest is never worth paying. i'm paying more money for paying. with interest and inflation, it ends up costing me a lot more for the same product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"on a bus you can sit safely next to strangers","when you call 911 you trust help will come","when you call a hotline you trust the person won't steal your info","when you call the fire department you trust they will help you","when you go to a bank you trust they'll keep your info secure","when you sign up for a daycare you trust your kids are safe","when you enroll in a school you trust your  kids are safe","when you enroll in a university you trust you or your kids will be safe","when you go to a doctor you trust they will try to help you","when you go to an ER you trust they will do their best",3,3,1,2,2,2,2,4,2,3,1,5,1,2,1,1,7,"$60,000 to $69,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)",2,"Female",1984,6,"June",1,"Never married",1,"Employed less than 3 years for the same company",16,"Life, physical, and social science",1,"None",3,"Caucasian/White",1,"Democrat",1.03907290018378,0.00573451377488157
132405,552,"2015-03-09 14:17:30",3,"experiment_Mar15_20","Y","A25EV1UR5ID01F","2015-03-09 14:17:59","2015-03-09 14:17:32","2015-03-09 14:17:59","27sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","playing game, outing with friends going to green fileds with all my friend to enjoy the whole day... get together
The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.","Y","The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.","Y","The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.","Y","Y","The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary.","opt_1",1,"Y","Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options:
1. You can pay the full amount in cash, which will cost you $999.
2. You can pay in 12 monthly payments, of $100 each, which would amount to a total of $1,200.","Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options:
1. You can pay the full amount in cash, which will cost you $999.
2. You can pay in 12 monthly payments, of $100 each, which would amount to a total of $1,200.","Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options:
1. You can pay the full amount in cash, which will cost you $999.
2. You can pay in 12 monthly payments, of $100 each, which would amount to a total of $1,200.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,4,4,4,5,4,4,4,4,4,3,3,3,3,7,"$60,000 to $69,999",3,"3",6,"Some college, and currently enrolled",1,"Male",1980,5,"May",2,"Living Together",6,"A homemaker",14,"Legal",2,"1",4,"East Indian",1,"Democrat",0.149692760266882,0.0148930930791835
132406,552,"2015-03-09 14:31:11",4,"experiment_Mar15_20","Y","A2W3QPD493MHEI","2015-03-09 14:33:10","2015-03-09 14:31:12","2015-03-09 14:33:10","118sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","I am not the breadwinner in my family. My fiancee makes more money than me, so a 15% decrease in my salary would not affect us too badly. We would eat out less often.","N","I would ask my parents for a loan. I would not be able to eat out. I would probably have to cancel my cable subscription as well.","Y","I would have to empty my entire savings account if I were to pay this off. I don't even have enough in savings to cover it. I would probably have to sell some of my personal items to help with the payment.","Y","N","I would feel worried every time I was on the road if I knew my car needed major repairs. I would try to get it fixed as quickly as possible. It would be important for me to come up with the money.","opt_1",1,"N","It depends on how short on funds I was. If I could get a small loan from a family member or friend for part of the money, I would rather be indebted to them for a couple hundred dollars instead of paying an extra $200 in interest.",NA,NA,"I trust my doctor to be up front and honest with me when I see him.","I trust my employer to pay me on time every 2 weeks.","I trust my mechanic to not overcharge me or give me unneeded services when I take in my car to get fixed.","I trust my bank to make sure my money is safe when I keep it with them.","I trust the cooks at a restaurant to make sure my food is handled properly and safely.","I trust my insurance company to cover me in case I get in a car accident.","I trust the ride operators at amusement parks to make sure the rides are safe.","I trust the zookeepers at zoos to make sure that the animals are at a safe distance from people.","I trust that paramedics will try to save my life if I ever need to call them in an emergency.","I trust that police officers will follow their oath to serve and protect.",4,4,3,1,3,1,2,1,4,1,4,1,3,1,3,3,5,"$40,000 to $49,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1986,9,"September",2,"Living Together",1,"Employed less than 3 years for the same company",1,"Administrative and office support",1,"None",5,"Latino/Hispanic",1,"Democrat",1.15616336714199,0.010221566740129
132433,552,"2015-03-13 10:22:43",1,"experiment_Mar15_20","Y","A3FFAWIZENG1FG","2015-03-13 10:23:01","2015-03-13 10:22:45","2015-03-13 10:23:01","16sec","Y","I don't think that a 5% cut is too drastic. I would just have to cut back on some of my hobbies such as traveling and eating out. ","Y","$200 is not a lot of money. I can make $200 in a very quick period of time. Even if I didn't have it at the time, I could borrow it from a friend. This would cause me no financial hardship with little sacrifice. ","Y","I always have $at least $1000 in my checking account so this would not cause me to dip into my savings account. This would easy to pay for and with the 10 percent discount. ","N","N","It would be very easy to make this decision because it's a no brainer. If I forego the service, then it would possibly become a much worse and more expensive issue. There is no doubt in my mind. ","opt_1",1,"Y","No it would not. I think that by paying the interest, I am getting a bad deal. $400 is not too expensive and if I have the cash, which I do, I will pay for it. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trust my healthcare provider and I trust that they will do whatever is best for me. ","I trust the bank that I am with because I have been a long time customer with them. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,1,3,1,2,1,4,1,2,2,4,1,4,4,4,"$30,000 to $39,999",1,"1",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1987,2,"February",1,"Never married",2,"Employed 3 or more years for the same company",6,"Computer and mathematical",1,"None",3,"Caucasian/White",1,"Democrat",1.07965976780617,0.00469475925587843
132434,552,"2015-03-13 10:23:13",2,"experiment_Mar15_20","Y","A3KCT51PDCLUFD","2015-03-13 10:23:35","2015-03-13 10:23:15","2015-03-13 10:23:35","20sec","Y","I think so. Every month even after disposable income I have money that I put into savings and retirement. A 5% reduction may not even cut into the retirement savings, but may cut a bit into the savings account.","Y","I have a few hundred in cash in my apartment at all times in case of something like this. I also have a line of credit with a great credit score on my credit card. 200 would be no problem at all.","N","I would bring enough cash to cover it. 135 isn't a crazy amount to cover, and I almost always have more cash than that in my apartment.","N","N","I think the line for me not to make any fixes is around $500. I would think that an eventual breakdown is a more expensive event and for less than 500 it's worth it. This is way less than my threshold so I would just pay what I owe and not incur any interest.","opt_1",1,"Y","No. This is an interest rate of 20%. That's worse than my credit card. This prohibits me from buying other things and even saving for a retirement in that case. I want to pay the full amount right away and avoid that cost. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Establishing a checking account with a local bank. It's not a huge bank but has done very well for me.","Trusting my friend to pick me up from the airport late at night.","To go to the ER when I was having lots of pain with appendicitis.","Taking the bus to get to a job interview on time.","Trusting cars not to run me over when I cross the street at a busy intersection.","Going out to eat to a restaurant to not get food poisoning.","Trusting people to clean off their equipment at the gym.","Trusting my coworkers to help me with my workload, because we work in teams.","Trusting the local janitors at my work to clean all the filth out of the bathroom","Trusting my family to always be there for me when I need them",6,6,3,1,3,1,3,1,4,1,2,2,3,1,4,4,6,"$50,000 to $59,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1989,2,"February",3,"Married",7,"A student",11,"Healthcare",1,"None",3,"Caucasian/White",2,"Republican",1.06241596281872,0.000764942755459191
132435,552,"2015-03-13 10:23:17",3,"experiment_Mar15_20","Y","A1NF1GLV9U6UD5","2015-03-13 10:23:31","2015-03-13 10:23:18","2015-03-13 10:23:31","13sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","I do not spend a lot of money, so 15% would not affect me all that much, although I might have to cut back on the amount I save, as that is where all the money I don't spend goes (currently about 35% of my income)","Y","I have a large enough stockpile of savings so I would be able to draw from it in the case of this problem. I would, however, try to replace it as soon as I could by whatever means I possibly could.","Y","I have $10k in my checking account alone. It would not be hard to get the money out of it, although I would try to replace it quickly so that if bad things keep happening I am prepared","N","N","This would be a very easy decision to make as I have the ability to pay it with cash. I could imagine it being quite difficult if I did not. I would also try to get better insurance in the future.","opt_1",1,"Y","Since the interest rate is 20%, I do not believe that it would be. That is a large number and no financial instrument will make up for continuing to have the cash on hand. This is an easy decision since I have plenty of cash.","I trusted my local public school system to provide me with a quality education and that trust eventually paid off, as I went on to excel in my post-secondary schooling","I trusted my bank's financial planners to provide me with prudent investment advice and it has seemed to pay off so far, as my assets have grown considerably under their care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,1,1,1,1,1,4,1,1,2,3,1,4,3,6,"$50,000 to $59,999",1,"1",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1990,10,"October",1,"Never married",1,"Employed less than 3 years for the same company",1,"Administrative and office support",1,"None",3,"Caucasian/White",1,"Democrat",1.04213512060197,0.00576102405622093
132436,552,"2015-03-13 10:23:18",4,"experiment_Mar15_20","Y","A2XVOYY8BDEZXF","2015-03-13 10:23:42","2015-03-13 10:23:19","2015-03-13 10:23:42","23sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I'm barely holding on as it is. With my pay like it is now, I have just enough money to eat and pay my bills, and before my quarterly bonus period things are always super tight.","Y","I would have to borrow the money from my inlaws, which would financially be a very difficult strain for months to come. This would probably eat up my entire quarterly bonus save about $500.","N","I don't have any savings to liquidate. Without any money in savings the only way I would be able to afford it is to borrow the money from my inlaws. ","Y","N","The car itself is worth about $5000, it wouldn't be worth it to risk avoiding the maintenance and possibly needing a new car. While borrowing $1500 is a tough pill to swallow it's cheaper than a new car.","opt_2",2,"N","The interest is worth paying because it's worth it to pay the interest instead of going without a refrigerator for a year. I look at it like a monthly installment that pays for the fridge instead of just getting mad about interest.",NA,NA,"I trusted my health insurance company to successfully find me a doctor to do my vasectomy.","I trusted Whole Foods to provide quality groceries for my family.","I trusted my daughter's preschool to help her learn and ensure she is in a safe environment.","I trust my work to pay me on time.","I trust the gas station to sell me gas that will make my car go.","I trust the cable company to provide the services requested in exchange for my bill payment.","I trust the cell phone company to provide service competently.","I trust the power company to provide power to my house.","I trust my landlord to not evict me if I pay my rent.","I trust the trash company to come get the trash if I pay them.",4,4,1,1,1,1,1,1,3,1,3,3,2,1,1,3,7,"$60,000 to $69,999",3,"3",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1981,10,"October",3,"Married",1,"Employed less than 3 years for the same company",4,"Business and financial operations",2,"1",3,"Caucasian/White",3,"Independent",0.949178825691773,0.00473279247068461
132437,552,"2015-03-13 10:23:30",2,"experiment_Mar15_20","Y","ADMTRXEG43HU0","2015-03-13 10:24:07","2015-03-13 10:23:32","2015-03-13 10:24:07","35sec","N","I WOULD DEFINITELY CUT BACK ON LEISURELY THINGS, ALSO BUY STORE BRAND GROCERIES. IT WOULD ALSO IMPACT UTILITIES WHICH I WILL NEED TO BE MORE PROACTIVE ON","Y","I WOULD HAVE TO USE MY SAVINGS AND YES IT WOULD BECAUSE MY SAVINGS ARE HELPING PAY MY BILLS. SO ALTHOUGH I CAN GET IT IT WOULD HAVE A NEGATIVE IMPACT","N","IT WOULD NOT LIQUIDATE MY SAVINGS, BUT IT WOULD BE HARDER FOR ME TO PAY MY BILLS, SINCE I USE THIS MONEY TO PAY BILLS. I WOULD RATHER TAKE OUT THE LOAN AND HOPE THAT I CAN MAKE SOME MONEY DURING THE NEXT MONTHS","Y","N","I CANNOT FOREGO SERVICE BECAUSE MY CAR IS THE ONLY WAY THAT I CAN MAKE MONEY, SO IF I DON'T HAVE A CAR THERE MIGHT NOT BE A POSSIBILITY FOR ME TO MAKE MONEY","opt_2",2,"Y","THE INTEREST IS NEVER WORTH PAYING, BUT YES IN THIS CASE IT WOULD BE. I WILL HURT MYSELF MORE IF I PAID DIRECTLY. I WOULD TRY TO PAY MORE THAN REQUESTED AMOUNT SOME MONTHS AND HOPEFULLY CAN PAY OFF SOONER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I LIVE IN A GREAT COMMUNITY AND WE FEEL SAFE AND TRUST OUR POLICE OFFICERS TO TAKE CARE OF US.","I TRUST MY BANK TO DO THE RIGHT THING WITH MY MONEY. I HAVE NEVER HAD A PROBLEM AND LOVE THEM","I TRUST IN MY PARTNER AND THEY WILL ALWAYS LOVE ME AND BE BY SIDE AND ALSO TRUST IN ME","I TRUST IN MY CHILDREN TO DO THE BEST FOR ME AND MY PARTNER AS WE GET OLDER","I TRUST MY DOCTOR TO GIVE ME THE BEST ADVISE POSSIBLE FOR MY HEALTH, GOOD NEWS AND BAD NEWS","I TRUST THE TEACHERS OF MY GRANDCHILDREN'S SCHOOLS TO MAKE SURE THAT THEY ARE EDUCATED PROPERLY AND COMPETE IN THIS SOCIETY","I TRUST MY CLOSE FRIENDS TO BE THERE THROUGH GOOD TIMES AND BAD TIMES","I TRUST THAT OUR PRESIDENT WILL DO WHATEVER IS RIGHT TO MAKE AMERICA AS STRONG AS IT CAN BE","I TRUST THE CDC FOR BEING FORTHRIGHT IN ALL OF THEIR DOINGS IN ORDER TO KEEP US SAFE.","I TRUST THAT OUR WORLD LEADERS WILL GET TOGETHER AND STOP ALL THE VIOLENCE AND BRING US ALL TOGETHER FOR A PEACEFUL CAUSE",2,2,5,1,5,1,4,1,5,1,5,1,5,1,5,5,1,"Less than $10,000",2,"2",7,"Associate degree (for example: AA, AS)",2,"Female",1962,6,"June",2,"Living Together",4,"Unemployed and looking for work",23,"Other",3,"2",2,"Black/African descent",1,"Democrat",1.17362901847276,0.00614886516088907
132441,552,"2015-03-13 10:23:35",2,"experiment_Mar15_20","Y","AU7A3QNJF3O00","2015-03-13 10:23:54","2015-03-13 10:23:37","2015-03-13 10:23:54","17sec","N","I barely make enough as it is, and would need to cut back as much as I can on bills or grocery items. As I normally don't have travel plans, that doesn't impact much, but just day-to-day living is hard enough.","N","It would cause financial hardship for me. I would have to borrow it from a friend that wouldn't charge me insane interest and pay them back over time, as much as possible. If I had to pay myself, I would have to overdraw my account and then get charged overdraft fees.","Y","Anything in my savings would be used towards it and emptied out. Not only that, I would likely have to borrow from friends or family. Although the insurance is covering only 10%, I have to find more money to borrow from others.","N","N","I would not put my car into a deeper area of risk as there is a huge possibility that the expenses could go into the thousands. I'd rather borrow from friends or family and then pay them back with little to no interest, rather than going through the bank.","opt_1",1,"N","I would not pay the interest, because that is overly obsessive to pay. Even though the payments is spread out over 12 months, I would rather pay it all up front now, with the help of friends or family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My bank reversed an overdraft charge because I could not afford it.","I trust my health care provider to help me with costs that I cannot afford.","I trust my school to keep me and my friends safe in case of emergency.","I trust that my bank will help keep my money safe and secure in the event of an emergency.","I trust my community to fix issues such as our roadways, sidewalks, streetlights, and other everyday functions.","I trust my government to do what is right and what benefits the majority of the people.","I trust my friends and family to be there for me when I need them, as well as I am for them.","I trust that government officials will help keep things in lawful order and keep things running smoothly.","I trust police officers in my time of need, should a situation ever arise that I need them.","I trust hospitals to take care of myself and my loved ones the best way possible.",2,2,3,3,2,1,2,1,2,1,2,2,2,1,3,2,1,"Less than $10,000",2,"2",7,"Associate degree (for example: AA, AS)",1,"Male",1988,8,"August",1,"Never married",3,"Self-employed",21,"Self-employed/entrepreneur",1,"None",3,"Caucasian/White",1,"Democrat",1.09702495888252,0.0237714049723782
132442,552,"2015-03-13 10:23:37",3,"experiment_Mar15_20","Y","A1U3KTAUMV7QKT","2015-03-13 10:24:03","2015-03-13 10:23:38","2015-03-13 10:24:03","25sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I would need to make some minor changes, such as reducing or eliminating some entertainment options. I would cancel satellite tv, and we would probably never go out for dinner.","Y","I would take it from my savings account. This would cut my savings short, but I could make it up relatively soon. I might also do some additional work on side projects that can bring in money quickly. ","Y","I would have to go to the bank, and withdraw from my savings account. Or, I could transfer the money on line, and the write a check. ","N","Y","Depending on the type of service required, a car can often keep going for thousands of miles more. I would probably take the gamble and go on without making the repair. ","opt_2",2,"Y","I think it would be worth it. I hate to cut my cash too short, and $999 on a fridge would cut us pretty short. I know I would be paying more in interest, but it wouldn't affect my available cash as much. ","I trust the school my kids attend.","I trust Amtrak to have the trains running on time.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,1,3,1,2,1,3,1,4,1,3,1,3,3,9,"$80,000 to $89,999",4,"4",5,"Some college, but not currently enrolled",1,"Male",1971,2,"February",3,"Married",2,"Employed 3 or more years for the same company",6,"Computer and mathematical",3,"2",3,"Caucasian/White",2,"Republican",0.984185958289167,0.00597228580843148
132443,552,"2015-03-13 10:24:06",4,"experiment_Mar15_20","Y","A177PH8HH3T5P8","2015-03-13 10:25:12","2015-03-13 10:24:07","2015-03-13 10:25:12","65sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I would need to reevaluate my student loan payments and likely need to cut down on my food costs. Though most of my food costs come from groceries, I try to still enjoy time with my friends and would need to spend less on bars/restaurants. And gifts.","Y","I could likely ask my significant other for a loan and it would greatly increase the loan I already have. I could possibly cover it under my credit card but it would definitely not be preferable.","Y","It would come out of the small emergency fund I've established this far. If I was not able to ask anyone for assistance, it would cause a great deal of financial stress.","N","Y","I would ask those I know are knowledgeable about car maintenance who I can trust whether or not the service is crucial or it can be put off. Maybe they can service it themselves for much less with additional time.","opt_2",2,"Y","Yes, in order to keep my emergency fund available. Although I could pay the full amount upfront, I would much rather pay the 200 extra for the piece of mind.",NA,NA,"I trust every day that the MTA will be working correctly.","I trust that my doctors will keep my medical records private.","I trust that my bank has a secure web system that I can trust to log onto.","I trust that if I am on an MTA bus, we will not crash.","I trust cab drivers to do their job well and do not wear a seat belt.","I trust that my payroll department will successfully deposit my check in a timely manner.","I trust that survey requesters on MTurk are using my data anonymously and safely.","I trust that Amazon will not put my financial data at risk.","I trust my fellow commuters to act civilly and respectfully, even in close quarters.","I trust that my psychiatrist knows what he is doing  in prescribing medications.",4,4,3,1,3,1,2,1,4,1,5,2,4,1,3,4,10,"$90,000 to $99,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)",2,"Female",1991,3,"March",2,"Living Together",1,"Employed less than 3 years for the same company",1,"Administrative and office support",1,"None",3,"Caucasian/White",5,"Other",1.03998027841703,0.0125489827221316
132444,552,"2015-03-13 10:24:21",1,"experiment_Mar15_20","Y","A1S6C6EN8MPKC3","2015-03-13 10:24:37","2015-03-13 10:24:22","2015-03-13 10:24:37","15sec","N","5% is quite a bit for me.. I have to keep detailed records of all my spending because I barely can afford to survive. 5% would be devastating and force me to look for another way to cover bills and still have something left over so I can eat.","Y","I do always keep enough cash in savings for emergencies. Should the amount I need exceed this? I can always borrow from friends or family as a last resort","Y","I would take the money from my savings or if I was not having an unusually 'bad' month with money flow I would consider putting it on my credit card and paying it over 2-3 months.","Y","N","My automobile is my primary source of transportation. I couldnt afford to 'wing' it or risk it.., I would absolutely need to get the car repaired unless it was something minor like a windshield wiper or a window that doesnt open","opt_2",2,"Y","The interest would be worth paying in this instance. A refrigerator is an essential part of my life and I would rather keep my savings for more emergencys in the future.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trusting that the basic community services such as trash, road repairs, and basic law and order is something I have for my city. It functions and has a governing body which seems to always get the job done. I trust and let them take care of these matters as they happen.","My community members have a general social skill where we are all different and yet we co exist. I have a good deal of trust in this social structure- we all live side by side, hardly even knowing who the next person is and yet everyone has a general level of mutual respect for each other.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,4,1,3,1,4,1,4,1,2,1,4,5,3,"$20,000 to $29,999",1,"1",4,"High school diploma or the equivalent (for example: GED)",1,"Male",1967,6,"June",1,"Never married",2,"Employed 3 or more years for the same company",13,"Labor/production/construction/transportation",1,"None",3,"Caucasian/White",1,"Democrat",1.08669168104625,0.003547463586783
