Countrycode_UN,Name,Continent,Region,Imputed
40,Austria,Europe,Western Europe,
56,Belgium,Europe,Western Europe,
250,France,Europe,Western Europe,
276,East Germany,Europe,Western Europe,Germany
276,West Germany,Europe,Western Europe,Germany
276,Germany,Europe,Western Europe,
438,Liechtenstein,Europe,Western Europe,
442,Luxembourg,Europe,Western Europe,
492,Monaco,Europe,Western Europe,
528,Netherlands,Europe,Western Europe,
756,Switzerland,Europe,Western Europe,
53,Australia and New Zealand,Oceania,Australia and New Zealand,
36,Australia,Oceania,Australia and New Zealand,
554,New Zealand,Oceania,Australia and New Zealand,
574,Norfolk Island,Oceania,Australia and New Zealand,
242,Fiji,Oceania,Melanesia,
540,New Caledonia,Oceania,Melanesia,
598,Papua New Guinea,Oceania,Melanesia,
90,Solomon Islands,Oceania,Melanesia,
548,Vanuatu,Oceania,Melanesia,
316,Guam,Oceania,Micronesia,
296,Kiribati,Oceania,Micronesia,
584,Marshall Islands,Oceania,Micronesia,
583,Micronesia (Federated States of),Oceania,Micronesia,
520,Nauru,Oceania,Micronesia,
580,Northern Mariana Islands,Oceania,Micronesia,
585,Palau,Oceania,Micronesia,
16,American Samoa,Oceania,Polynesia,
184,Cook Islands,Oceania,Polynesia,
258,French Polynesia,Oceania,Polynesia,
570,Niue,Oceania,Polynesia,
612,Pitcairn,Oceania,Polynesia,
882,Samoa,Oceania,Polynesia,
772,Tokelau,Oceania,Polynesia,
776,Tonga,Oceania,Polynesia,
798,Tuvalu,Oceania,Polynesia,
876,Wallis and Futuna Islands,Oceania,Polynesia,
,Laos,Asia,South-Eastern Asia,
