"serial","experiment_number","datetime","path","experiment_name","s916854.q3290.consent.1","s916854.q3289.mturk_ID","s.916854.submit","s.916854.start","s.916854.stamp","s.916854.length","s597418.q3178.scen1_1","s597418.q3179.scen1_2","s.597418.submit","s.597418.start","s.597418.stamp","s.597418.length","s353562.q3184.scen2_1","s353562.q3185.scen2_2","s.353562.submit","s.353562.start","s.353562.stamp","s.353562.length","s835338.q3190.scen3_1","s835338.q3191.scen3_2","s835338.q3192.scen3_3","s835338.q3193.scen3_4","s835338.q3194.scen3_5","s.835338.submit","s.835338.start","s.835338.stamp","s.835338.length","s678612.q3199.scen4_1","f.s678612.q3199.scen4_1","s678612.q3200.scen4_2","s678612.q3201.scen4_3","s.678612.submit","s.678612.start","s.678612.stamp","s.678612.length","s873281.q3260.hard_scen1_1","s873281.q3261.hard_scen1_2","s.873281.submit","s.873281.start","s.873281.stamp","s.873281.length","s576721.q3219.hard_scen2_1","s576721.q3220.hard_scen2_2","s.576721.submit","s.576721.start","s.576721.stamp","s.576721.length","s196727.q3230.hard_scen3_1","s196727.q3231.hard_scen3_2","s196727.q3232.hard_scen3_3","s196727.q3233.hard_scen3_4","s196727.q3234.hard_scen3_5","s.196727.submit","s.196727.start","s.196727.stamp","s.196727.length","s292542.q3239.hard_scen4_1","f.s292542.q3239.hard_scen4_1","s292542.q3240.hard_scen4_2","s292542.q3241.hard_scen4_3","s.292542.submit","s.292542.start","s.292542.stamp","s.292542.length","s799779.q3207.easy_ST_1","s799779.q3208.easy_ST_2","s.799779.submit","s.799779.start","s.799779.stamp","s.799779.length","s233454.q3246.hard_ST_1","s233454.q3247.hard_ST_2","s233454.q3248.hard_ST_3","s233454.q3249.hard_ST_4","s233454.q3250.hard_ST_5","s233454.q3251.hard_ST_6","s233454.q3252.hard_ST_7","s233454.q3253.hard_ST_8","s233454.q3254.hard_ST_9","s233454.q3255.hard_ST_10","s.233454.submit","s.233454.start","s.233454.stamp","s.233454.length","s177542.q3214.macarth","f.s177542.q3214.macarth","s.177542.submit","s.177542.start","s.177542.stamp","s.177542.length","s488174.q3158.brazil1.Q1","s488174.q3158.brazil1.Q2","s488174.q3158.brazil1.Q3","s488174.q3158.brazil1.Q4","s488174.q3158.brazil1.Q5","s488174.q3158.brazil1.Q6","s488174.q3158.brazil1.Q7","s488174.q3159.brazil2.Q8","s488174.q3159.brazil2.Q9","s488174.q3159.brazil2.Q10","s488174.q3159.brazil2.Q11","s488174.q3159.brazil2.Q12","s488174.q3159.brazil2.Q13","s488174.q3159.brazil2.Q14","s.488174.submit","s.488174.start","s.488174.stamp","s.488174.length","s134398.q3266.Income","f.s134398.q3266.Income","s134398.q3267.Household Size","f.s134398.q3267.Household Size","s134398.q3268.Education","f.s134398.q3268.Education","s.134398.submit","s.134398.start","s.134398.stamp","s.134398.length","s458795.q3143.Sex","f.s458795.q3143.Sex","s458795.q3144.Age","s458795.q3145.Month of Birth","f.s458795.q3145.Month of Birth","s458795.q3146.Marital","f.s458795.q3146.Marital","s458795.q3147.Income","f.s458795.q3147.Income","s458795.q3148.Education","f.s458795.q3148.Education","s458795.q3149.Current Employment","f.s458795.q3149.Current Employment","s458795.q3150.Current Occupation","f.s458795.q3150.Current Occupation","s458795.q3151.Children","f.s458795.q3151.Children","s458795.q3152.Race","f.s458795.q3152.Race","s458795.q3153.Political","f.s458795.q3153.Political","s.458795.submit","s.458795.start","s.458795.stamp","s.458795.length"
132365,552,2015-03-09 12:34:47,NA,"experiment_Mar15_20","Y","A39M1U0GJ1YWBD","2015-03-09 12:35:16","2015-03-09 12:34:48","2015-03-09 12:35:16","28sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I would need to take a part-time job to make up for the difference.  My budget is already stretched at the moment.  I wouldn't have enough to pay the bills.","2015-03-09 12:36:05","2015-03-09 12:35:16","2015-03-09 12:36:05","49sec","N","I wouldn't be able to come up with that much at one time.  If it was a life or death emergency, I might be able to get it from family, but otherwise I wouldn't be able to come up with it.","2015-03-09 12:36:39","2015-03-09 12:36:06","2015-03-09 12:36:39","33sec","N","I wouldn't have that much available at once.  I wouldn't be able to come up with it.  I would have to find another way.  I'd probably take out a loan to cover the repair","Y","N","I wouldn't leave it up to chance and allow something worse to happen that would cost more money.  i'd rather just get a loan and take care of the problem immediately.","2015-03-09 12:38:15","2015-03-09 12:36:39","2015-03-09 12:38:15","96sec","opt_2","2.","N","Yes it would be worth it.  I would otherwise have no other way of affording it.  If I had that much saved, of course it would be smarter to just pay cash so you wouldn't have the interest charges.","2015-03-09 12:39:01","2015-03-09 12:38:16","2015-03-09 12:39:01","45sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-03-09 12:39:02","2015-03-09 12:39:02","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132366,552,2015-03-09 12:37:56,"1","experiment_Mar15_20","Y","A1VLZL3CA1WMPT","2015-03-09 12:38:30","2015-03-09 12:37:57","2015-03-09 12:38:30","33sec","N","I'm already on a very tight budget.  5% would put me below what I can easily survive on, and put me at risk of falling behind if anything goes wrong.","2015-03-09 12:39:59","2015-03-09 12:38:32","2015-03-09 12:39:59","87sec","Y","I would probably put it on a credit card.  My daily budget for food would have to be cut in half so that I could pay my other bills, though.","2015-03-09 12:40:50","2015-03-09 12:40:00","2015-03-09 12:40:50","50sec","N","If I did this, I would have to withdraw from my savings or checking account, which I need to keep up to certain levels for my bills.","N","Y","It wouldn't be easy, because my car is fairly necessary.  I would probably wait until I paid my bills, then see if I have enough left.","2015-03-09 12:43:17","2015-03-09 12:40:51","2015-03-09 12:43:17","146sec","opt_2","2.","N","If I had to buy a refrigerator, I wouldn't have a choice.  I can't currently come up with $399 cash at this point.  If I could wait, I might be able to.","2015-03-09 12:44:10","2015-03-09 12:43:17","2015-03-09 12:44:10","53sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We trust other drivers, to some degree at least, to obey driving laws.","We trust fast food workers to prepare our food safely.","2015-03-09 12:56:10","2015-03-09 12:44:11","2015-03-09 12:56:10","719sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"2","2015-03-09 12:58:43","2015-03-09 12:58:32","2015-03-09 12:58:43","11sec","1","1","1","1","3","1","3","1","3","2","3","1","3","3","2015-03-09 12:59:50","2015-03-09 12:58:44","2015-03-09 12:59:50","66sec",1,"Less than $10,000",1,"1",3,"9th, 10th or 11th grade","2015-03-09 13:00:01","2015-03-09 12:59:50","2015-03-09 13:00:01","11sec",1,"Male","1995",11,"November",1,"Never married",1,"Less than $10,000",3,"9th, 10th or 11th grade",4,"Unemployed and looking for work",13,"Labor/production/construction/transportation",1,"None",3,"Caucasian/White",3,"Independent","2015-03-09 13:00:41","2015-03-09 13:00:02","2015-03-09 13:00:41","39sec"
132367,552,2015-03-09 12:38:09,"2","experiment_Mar15_20","Y","A36SM7QM8OK3H6","2015-03-09 12:38:24","2015-03-09 12:38:10","2015-03-09 12:38:24","14sec","Y","5% is not that much, so I would be fine. I have some savings and I live within my means, so I don't think I would need to change much of anything.","2015-03-09 12:39:02","2015-03-09 12:38:24","2015-03-09 12:39:02","38sec","Y","I have over $200 saved up right now, and if I didn't, I could ask a family member to lend me the money, even though I wouldn't want to.","2015-03-09 12:39:29","2015-03-09 12:39:02","2015-03-09 12:39:29","27sec","Y","I'm not sure what you mean by liquidating savings. I would take the money out of my savings account, if that's what you mean.","N","N","I've done this before and I strongly regretted it because my car DID break down and it ended up costing me a large amount of money.","2015-03-09 12:40:26","2015-03-09 12:39:30","2015-03-09 12:40:26","56sec","opt_2","2.","Y","Yes, it doesn't seem like a lot of money and it would leave me more money in my savings account in case of a real emergency, like my car needing repairs.","2015-03-09 12:41:06","2015-03-09 12:40:26","2015-03-09 12:41:06","40sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"public transportation options","local community health clinic","local humane society clinic","the university I attend","my bank where I have my money","my apartment management company","my credit union where I have some more money","the places where I shop for things I need","car repair shop where I had my car fixed","my local police department","2015-03-09 12:43:54","2015-03-09 12:41:06","2015-03-09 12:43:54","168sec",3,"3","2015-03-09 12:45:20","2015-03-09 12:45:14","2015-03-09 12:45:20","6sec","3","1","3","1","2","1","3","2","5","2","5","1","4","5","2015-03-09 12:45:44","2015-03-09 12:45:20","2015-03-09 12:45:44","24sec",3,"$20,000 to $29,999",1,"1",8,"Bachelor's degree (for example: BA, AB, BS)","2015-03-09 12:45:52","2015-03-09 12:45:44","2015-03-09 12:45:52","8sec",2,"Female","1987",4,"April",1,"Never married",3,"$20,000 to $29,999",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Employed less than 3 years for the same company",11,"Healthcare",1,"None",3,"Caucasian/White",1,"Democrat","2015-03-09 12:46:22","2015-03-09 12:45:52","2015-03-09 12:46:22","30sec"
132368,552,2015-03-09 12:38:48,"3","experiment_Mar15_20","Y","A2Z11BHUBDVKMB","2015-03-09 12:39:21","2015-03-09 12:38:49","2015-03-09 12:39:21","32sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","I would be able to maintain, as 15% would not be a significant hit in my income. I would possibly cut back on some of the unecessary spending that I do, but in general I would be ok with how I am living, just small changes would have to be made.","2015-03-09 12:40:50","2015-03-09 12:39:21","2015-03-09 12:40:50","89sec","Y","I would go into some of my savings. It would be a slight hit in my financial goals, and I would possibly have to make a couple changes just to ensure that that I would be back on track in no time. ","2015-03-09 12:42:15","2015-03-09 12:40:51","2015-03-09 12:42:15","84sec","N","I would not pay the full amount in cash as it is better to space it out over time.  You are able to plan and not liquidating your savings is also pretty good as well, because you can somehow generate new income to cover what your borrowed.","Y","N","I would take out the loan, simply because it would not be a big financial hit compared to paying that fully amount one time. I would not risk leaving the car as is, simply because it breaking down could result in a much bigger cost, compared to if I had just fixed it when I could. It would be pretty easy as I would rather space out a payment over time, than take a big hit.","2015-03-09 12:46:15","2015-03-09 12:42:16","2015-03-09 12:46:15","239sec","opt_2","2.","Y","yes because you are not tying your money up one time in somehting. You could invest the money you have left over to generate more to cover the cost of the fridge loan.","2015-03-09 12:47:29","2015-03-09 12:46:16","2015-03-09 12:47:29","73sec","social trust in my community is very high. They have been shown to rally around a common goal and have been successful in the past. It is good to know people come together and work on a common goal.","my social trust in banks is pretty low, as they are just in it for the money. They really do not  care about the customer and profits are their driving factor.","2015-03-09 12:49:28","2015-03-09 12:47:29","2015-03-09 12:49:28","119sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"6","2015-03-09 12:52:18","2015-03-09 12:52:09","2015-03-09 12:52:18","9sec","5","1","5","1","5","1","5","1","5","1","5","1","5","5","2015-03-09 12:53:06","2015-03-09 12:52:19","2015-03-09 12:53:06","47sec",6,"$50,000 to $59,999",3,"3",8,"Bachelor's degree (for example: BA, AB, BS)","2015-03-09 12:53:23","2015-03-09 12:53:07","2015-03-09 12:53:23","16sec",1,"Male","1979",1,"January",3,"Married",6,"$50,000 to $59,999",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Employed less than 3 years for the same company",3,"Arts/design/entertainment/music/media",2,"1",2,"Black/African descent",1,"Democrat","2015-03-09 12:54:12","2015-03-09 12:53:24","2015-03-09 12:54:12","48sec"
132369,552,2015-03-09 12:38:53,"4","experiment_Mar15_20","Y","A2541C8MY0BYV3","2015-03-09 12:39:09","2015-03-09 12:38:54","2015-03-09 12:39:09","15sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","If i recieved a 15% cut in my salary, this would definitely affect me greatly. First, i wouldn't be able to eat out as much anymore. Before i would probably buy food three our of 7 days of the week. Everytime we bought food, it would be around $50-$60 dollars. With a 15% cut i would have to stop that and start cooking on my own. Second, i would have to stop splurging when i'm out shopping. I would need to learn how to save and look at coupons. I would need to figure out what's on sale and teach myself how to manage my money better.","2015-03-09 12:41:15","2015-03-09 12:39:09","2015-03-09 12:41:15","126sec","Y","If i needed to come up with an immediate $2000 dollars, my first option would be to borrow from the bank. I would make the bank back in parts and interest. If i decide not to go with that plan, i can always turn to my parents and ask them nicely to lend me $2,000. I would promise to pay them back as soon as i possibly can. This would not affect me in the long run as i would most definitely make that $2,000 back from working.","2015-03-09 12:42:49","2015-03-09 12:41:16","2015-03-09 12:42:49","93sec","Y","I would definitely pay the full amount in cash. It would not require any liquidating savings. I consider myself a responsible saver and have enough in my bank account to cover the costs. If anything, like previously stated, i can always ask my parents or my girlfriend to loan me some money for the time being.","Y","N","This would be an easy decision for me to make. I would definitely pay it off now. If i was to forego the procedure and keep driving my car, like stated, there is a great possibility that my car can break down. If this happens, i would just have to pay a greater expense(which would be stupid). I would definitely do anything i can to be able to pay the service off now.","2015-03-09 12:46:08","2015-03-09 12:42:49","2015-03-09 12:46:08","199sec","opt_1","1.","Y","The interest would definitely be worth paying depending on your situation. If you don't have the money on hand, the interest option is recommendable because the interest isn't too high for a year's option. I, myself, would have the money on hand so i would choose the pay it all first. Paying it off wouldn't put me in any financial crisis  and i wouldn't have to pay any interest.","2015-03-09 12:47:35","2015-03-09 12:46:09","2015-03-09 12:47:35","86sec",NA,NA,NA,NA,NA,NA,"Banks. I trust that the banks are loaning me money that i need.","Schools. I trust that schools are offering education needed by kids.","Transportation. I trust that public transportation would take me where i need to be with no problems.","Obamacare. I trust that it would provide me with the correct procedures and help if i'm in need.","Government. I trust that the government is doing their best to make the U.S. a great place to live.","Social News. I trust that the news media is providing me with real information.","Grocery Stores. I trust that grocery stores will provide me with my everyday needs.","Public help lines. I trust that help lines would help me if i'm in a state of depression.","Unemployment benefits. I trust that if i get layed off, the government would assist me.","College. I trust that colleges will give me the right education for me to use in the real world.","2015-03-09 12:51:45","2015-03-09 12:47:36","2015-03-09 12:51:45","249sec",6,"6","2015-03-09 12:53:20","2015-03-09 12:53:12","2015-03-09 12:53:20","8sec","3","3","3","2","4","2","4","2","4","4","4","2","4","4","2015-03-09 12:53:48","2015-03-09 12:53:20","2015-03-09 12:53:48","28sec",7,"$60,000 to $69,999",3,"3",5,"Some college, but not currently enrolled","2015-03-09 12:54:02","2015-03-09 12:53:48","2015-03-09 12:54:02","14sec",1,"Male","1987",12,"December",1,"Never married",7,"$60,000 to $69,999",5,"Some college, but not currently enrolled",1,"Employed less than 3 years for the same company",20,"Sales and marketing",1,"None",1,"Asian",3,"Independent","2015-03-09 12:54:40","2015-03-09 12:54:02","2015-03-09 12:54:40","38sec"
132370,552,2015-03-09 12:39:14,"1","experiment_Mar15_20","Y","A2YPWT2UKHWRN0","2015-03-09 12:39:25","2015-03-09 12:39:15","2015-03-09 12:39:25","10sec","Y","I make enough money that I can adjust my savings to account for the difference. I would simply put less money into savings each month to cover the cost.","2015-03-09 12:46:50","2015-03-09 12:39:25","2015-03-09 12:46:50","445sec","Y","I would take $200 out of savings. This would not really cause me any harm or discomfort and I would try to replace the money as soon as possible.","2015-03-09 12:47:27","2015-03-09 12:46:51","2015-03-09 12:47:27","36sec","Y","I would just move the money out of my savings to pay for this. This amount would really not affect my financial situation and I would try to replace the funds as soon as possible.","N","N","This is a no brainer. I would take the money out of savings and pay it in cash immediately. This would not be that big of a deal to me.","2015-03-09 12:49:02","2015-03-09 12:47:27","2015-03-09 12:49:02","95sec","opt_2","2.","Y","I would prefer to pay this over 12 months to avoid dipping that far into savings. Ideally, I would find a 0% interest offer and pay that way. You can almost always find one.","2015-03-09 12:50:03","2015-03-09 12:49:03","2015-03-09 12:50:03","60sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I recently was traveling for work, and I asked an airline employee to watch my computer and tablet while I went to the restroom.","I trust my church to take my money and use it wisely for the betterment of our community. ","2015-03-09 12:51:29","2015-03-09 12:50:03","2015-03-09 12:51:29","86sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"6","2015-03-09 12:57:41","2015-03-09 12:57:32","2015-03-09 12:57:41","9sec","5","1","4","1","3","1","5","1","4","1","4","1","5","4","2015-03-09 12:59:40","2015-03-09 12:57:41","2015-03-09 12:59:40","119sec",8,"$70,000 to $79,999",4,"4",8,"Bachelor's degree (for example: BA, AB, BS)","2015-03-09 12:59:57","2015-03-09 12:59:40","2015-03-09 12:59:57","17sec",1,"Male","1985",2,"February",3,"Married",8,"$70,000 to $79,999",8,"Bachelor's degree (for example: BA, AB, BS)",2,"Employed 3 or more years for the same company",20,"Sales and marketing",3,"2",3,"Caucasian/White",4,"None","2015-03-09 13:04:54","2015-03-09 12:59:57","2015-03-09 13:04:54","297sec"
132371,552,2015-03-09 12:40:18,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132372,552,2015-03-09 12:40:20,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132373,552,2015-03-09 12:40:23,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132374,552,2015-03-09 12:40:24,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132375,552,2015-03-09 12:40:24,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132376,552,2015-03-09 12:40:24,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132377,552,2015-03-09 12:40:24,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132378,552,2015-03-09 12:40:25,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132379,552,2015-03-09 12:40:25,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132380,552,2015-03-09 12:40:25,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132381,552,2015-03-09 12:40:25,NA,"experiment_Mar15_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
